dataset;measure;classification-measure;test-type;value
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;recall;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;f-measure;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;specificity;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSTPClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;accuracy;holdout;0.3333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;accuracy;cross-validation;0.18285714285714283
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;precision;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;specificity;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;fall-out;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;precision;cross-validation;0.26666666666666666
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;recall;cross-validation;0.36666666666666664
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;f-measure;cross-validation;0.27999999999999997
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;specificity;cross-validation;0.7180952380952381
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;fall-out;cross-validation;0.2819047619047619
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);HCSSClassifierTest;false-discovery-rate;cross-validation;0.7333333333333333
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;accuracy;holdout;0.25
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;accuracy;cross-validation;0.18285714285714283
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;precision;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;specificity;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;fall-out;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;precision;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;recall;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;f-measure;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;specificity;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;fall-out;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);CVTIClassifierTest;false-discovery-rate;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;accuracy;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;accuracy;cross-validation;0.18285714285714283
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;specificity;holdout;0.7
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;fall-out;holdout;0.30000000000000004
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);wDFClassifierTest;false-discovery-rate;holdout;1.0
